tuned,fs,clf,acc_mean,acc_sd,acc_ci_lo,acc_ci_hi,f1_mean,f1_sd,f1_ci_lo,f1_ci_hi,auc_mean,auc_sd,auc_ci_lo,auc_ci_hi,n_folds,k_median,k_iqr,params_mode,params_mode_freq
True,anova,SVM,0.5671861471861471,0.07735503960721189,0.5352555561901464,0.5991167381821478,0.2631678610347341,0.2329514400768104,0.16701023261399292,0.35932548945547527,0.6112535612535612,0.12826799694420327,0.5583071343743514,0.664199988132771,25,200.0,50-500,"{""C"": 10, ""gamma"": 0.0001}",0.24
False,anova,SVM,0.6058008658008658,0.09957164805471122,0.5646997095610558,0.6469020220406758,0.44092925753297274,0.16256095944605256,0.3738273914574568,0.5080311236084887,0.601017094017094,0.11808864518742432,0.5522724970277086,0.6497616910064794,25,50.0,50-50,"{""C"": 1.0, ""gamma"": ""scale""}",1.0
True,mi,LR,0.5764502164502164,0.07638300890021132,0.5449208600098231,0.6079795728906098,0.4570578531263683,0.12520821707769458,0.40537444130023564,0.5087412649525009,0.614897435897436,0.09395362355469888,0.5761152861945792,0.6536795856002927,25,100.0,20-200,"{""C"": 0.01}",0.36
False,mi,LR,0.5857142857142857,0.08878637315683492,0.5490650721441737,0.6223634992843978,0.4828873144623582,0.13459127135928453,0.42733076818913535,0.5384438607355811,0.6297179487179487,0.12780845414268968,0.576961211784149,0.6824746856517484,25,50.0,50-50,"{""C"": 1.0}",1.0
True,mi,LASSO,0.5414718614718614,0.09751612751887886,0.5012191824075116,0.5817245405362113,0.4977305361128124,0.1447365208512405,0.43798623667282843,0.5574748355527964,0.5954615384615384,0.09902032390680265,0.5545879576449002,0.6363351192781765,25,50.0,50-200,"{""C"": 0.1}",0.4
False,mi,LASSO,0.6076190476190476,0.08284116576784534,0.5734238950446786,0.6418142001934166,0.5122034188721496,0.13833828106875554,0.45510018300897,0.5693066547353292,0.6328091168091168,0.12828822337461798,0.579854340869779,0.6857638927484545,25,50.0,50-50,"{""C"": 1.0}",1.0
True,mi,RF,0.6094372294372294,0.0841888396649126,0.5746857844193204,0.6441886744551385,0.48052219916306604,0.12394482285097211,0.4293602908423937,0.5316841074837384,0.6572492877492877,0.10699761190331186,0.613082844288312,0.7014157312102635,25,200.0,50-500,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.48
False,mi,RF,0.6232900432900432,0.09787140665766433,0.5828907122049902,0.6636893743750962,0.5082410437859355,0.14121066765042942,0.44995214501588465,0.5665299425559863,0.6819002849002849,0.11535190788934627,0.6342853575455109,0.7295152122550589,25,50.0,50-50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",1.0
True,mi,SVM,0.5728138528138528,0.058501252181573794,0.5486657227676551,0.5969619828600504,0.2941802250724851,0.21622018613879343,0.2049289188391252,0.38343153130584495,0.5993846153846153,0.09469793060297846,0.5602952308324878,0.6384739999367428,25,100.0,20-200,"{""C"": 10, ""gamma"": 0.0001}",0.2
False,mi,SVM,0.578095238095238,0.08436219497888414,0.5432722355206976,0.6129182406697784,0.40882193417177937,0.14582710759716114,0.34862746264854816,0.4690164056950106,0.5928860398860398,0.12333813991737705,0.5419745579721698,0.6437975217999099,25,50.0,50-50,"{""C"": 1.0, ""gamma"": ""scale""}",1.0
