task,fold_id,repeat,fold,fs,clf,tuned,k,params,inner_auc,acc,f1,auc,cm,modality,n_features
mod_EEG-only_none_RF,24,4,4,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6785714285714286,0.6587813620071685,0.8559245335561126,"[[11, 1, 0], [4, 5, 0], [4, 0, 3]]",EEG-only,3456
mod_fNIRS-only_anova_LR,0,0,0,anova,LR,True,500,"{""C"": 0.01}",0.6394128846907549,0.4827586206896552,0.4331154684095861,0.6299330299330299,"[[10, 3, 0], [7, 2, 0], [4, 1, 2]]",fNIRS-only,1512
mod_fNIRS-only_anova_LR,0,0,0,anova,LR,False,50,"{""C"": 1.0}",,0.5517241379310345,0.5052498418722328,0.650460187960188,"[[10, 2, 1], [5, 4, 0], [3, 2, 2]]",fNIRS-only,1512
mod_fNIRS-only_anova_LR,1,0,1,anova,LR,True,50,"{""C"": 1}",0.6504545096613034,0.2413793103448276,0.26195286195286194,0.49515438265438266,"[[3, 9, 1], [6, 2, 1], [5, 0, 2]]",fNIRS-only,1512
mod_fNIRS-only_anova_LR,1,0,1,anova,LR,False,50,"{""C"": 1.0}",,0.2413793103448276,0.26195286195286194,0.49515438265438266,"[[3, 9, 1], [6, 2, 1], [5, 0, 2]]",fNIRS-only,1512
mod_fNIRS-only_anova_LR,2,0,2,anova,LR,True,200,"{""C"": 10}",0.5849532061769268,0.3793103448275862,0.3935693935693936,0.5956450956450957,"[[4, 5, 4], [5, 4, 0], [4, 0, 3]]",fNIRS-only,1512
mod_fNIRS-only_anova_LR,2,0,2,anova,LR,False,50,"{""C"": 1.0}",,0.27586206896551724,0.22905982905982905,0.48664807414807415,"[[6, 5, 2], [5, 1, 3], [6, 0, 1]]",fNIRS-only,1512
mod_fNIRS-only_anova_LR,3,0,3,anova,LR,True,500,"{""C"": 0.01}",0.6726276109136151,0.4827586206896552,0.5262406675450154,0.669570092789907,"[[5, 7, 0], [5, 5, 0], [2, 1, 4]]",fNIRS-only,1512
mod_fNIRS-only_anova_LR,3,0,3,anova,LR,False,50,"{""C"": 1.0}",,0.4827586206896552,0.46303030303030307,0.6286212411599409,"[[6, 6, 0], [2, 6, 2], [2, 3, 2]]",fNIRS-only,1512
mod_fNIRS-only_anova_LR,4,0,4,anova,LR,True,500,"{""C"": 0.01}",0.5664729973783215,0.4642857142857143,0.42758620689655175,0.6630284789354338,"[[7, 3, 2], [9, 0, 0], [1, 0, 6]]",fNIRS-only,1512
mod_fNIRS-only_anova_LR,4,0,4,anova,LR,False,50,"{""C"": 1.0}",,0.5,0.5,0.6677973455464056,"[[7, 3, 2], [7, 2, 0], [2, 0, 5]]",fNIRS-only,1512
mod_fNIRS-only_anova_LR,5,1,0,anova,LR,True,500,"{""C"": 1}",0.6773139694340293,0.5172413793103449,0.500366568914956,0.601082251082251,"[[9, 3, 1], [6, 3, 0], [3, 1, 3]]",fNIRS-only,1512
