task,fold_id,repeat,fold,fs,clf,tuned,k,params,inner_auc,acc,f1,auc,cm
three_class,2,0,2,none,SVM,False,4968,"{""C"": 1.0, ""gamma"": ""scale""}",,0.4482758620689655,0.3988233988233987,0.630487567987568,"[[7, 1, 5], [4, 1, 4], [2, 0, 5]]"
three_class,2,0,2,anova,LR,True,50,"{""C"": 0.01}",0.7109777407791298,0.5862068965517241,0.532702591526121,0.8055430680430681,"[[11, 1, 1], [8, 1, 0], [2, 0, 5]]"
three_class,2,0,2,anova,LR,False,50,"{""C"": 1.0}",,0.7241379310344828,0.7203029359892105,0.8512617012617012,"[[10, 1, 2], [3, 6, 0], [1, 1, 5]]"
three_class,2,0,2,anova,LASSO,True,50,"{""C"": 1}",0.7115223185423661,0.6206896551724138,0.6069951553822522,0.8038336663336664,"[[10, 1, 2], [6, 3, 0], [2, 0, 5]]"
three_class,2,0,2,anova,LASSO,False,50,"{""C"": 1.0}",,0.6206896551724138,0.6069951553822522,0.8038336663336664,"[[10, 1, 2], [6, 3, 0], [2, 0, 5]]"
three_class,2,0,2,anova,RF,True,500,"{""max_depth"": 10, ""min_samples_leaf"": 5}",0.7950656899375695,0.6896551724137931,0.704014939309057,0.8210941835941835,"[[9, 3, 1], [4, 5, 0], [1, 0, 6]]"
three_class,2,0,2,anova,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5517241379310345,0.5508072174738842,0.7680666555666557,"[[8, 4, 1], [4, 4, 1], [2, 1, 4]]"
three_class,2,0,2,anova,SVM,True,200,"{""C"": 10, ""gamma"": 0.0001}",0.7444606969858203,0.5517241379310345,0.5139860139860141,0.7024285899285899,"[[10, 2, 1], [8, 1, 0], [2, 0, 5]]"
three_class,2,0,2,anova,SVM,False,50,"{""C"": 1.0, ""gamma"": ""scale""}",,0.5517241379310345,0.4476190476190476,0.7784100159100159,"[[11, 0, 2], [9, 0, 0], [2, 0, 5]]"
three_class,2,0,2,mi,LR,True,50,"{""C"": 0.1}",0.730113138096392,0.5862068965517241,0.580952380952381,0.7432280682280683,"[[9, 2, 2], [6, 3, 0], [2, 0, 5]]"
three_class,2,0,2,mi,LR,False,50,"{""C"": 1.0}",,0.6206896551724138,0.6227695675971537,0.7303085803085803,"[[9, 2, 2], [5, 4, 0], [2, 0, 5]]"
three_class,2,0,2,mi,LASSO,True,10,"{""C"": 5}",0.721499074032451,0.5172413793103449,0.471326164874552,0.6500647500647501,"[[9, 1, 3], [8, 1, 0], [1, 1, 5]]"
three_class,2,0,2,mi,LASSO,False,50,"{""C"": 1.0}",,0.5172413793103449,0.5025641025641026,0.751510064010064,"[[8, 2, 3], [7, 2, 0], [2, 0, 5]]"
three_class,2,0,2,mi,RF,True,500,"{""max_depth"": 10, ""min_samples_leaf"": 5}",0.81176221529758,0.6896551724137931,0.7037412666215913,0.8261668886668886,"[[10, 3, 0], [4, 5, 0], [2, 0, 5]]"
three_class,2,0,2,mi,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5517241379310345,0.5310800310800311,0.7284891034891036,"[[10, 3, 0], [8, 1, 0], [2, 0, 5]]"
three_class,2,0,2,mi,SVM,True,50,"{""C"": 10, ""gamma"": ""scale""}",0.7345648137073973,0.5517241379310345,0.5601851851851852,0.7239219114219114,"[[6, 4, 3], [3, 5, 1], [2, 0, 5]]"
three_class,2,0,2,mi,SVM,False,50,"{""C"": 1.0, ""gamma"": ""scale""}",,0.4482758620689655,0.2606060606060605,0.7426938801938802,"[[12, 1, 0], [8, 1, 0], [7, 0, 0]]"
three_class,3,0,3,none,LR,True,4968,"{""C"": 10}",0.6596225330636719,0.6206896551724138,0.6314699792960662,0.7463770835287864,"[[6, 5, 1], [2, 7, 1], [1, 1, 5]]"
three_class,3,0,3,none,LR,False,4968,"{""C"": 1.0}",,0.6206896551724138,0.6375757575757576,0.7093821898775459,"[[8, 4, 0], [4, 6, 0], [1, 2, 4]]"
three_class,3,0,3,none,LASSO,True,4968,"{""C"": 0.1}",0.726775238829179,0.6551724137931034,0.6815873015873016,0.7434698600333275,"[[8, 4, 0], [4, 6, 0], [1, 1, 5]]"
three_class,3,0,3,none,LASSO,False,4968,"{""C"": 1.0}",,0.5517241379310345,0.5700483091787439,0.7207052837083796,"[[6, 5, 1], [4, 6, 0], [1, 2, 4]]"
three_class,3,0,3,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7936524239206232,0.6206896551724138,0.6345059793335656,0.8810683124924611,"[[9, 3, 0], [5, 5, 0], [3, 0, 4]]"
three_class,3,0,3,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6896551724137931,0.6910457963089541,0.8687746549975651,"[[10, 2, 0], [4, 6, 0], [2, 1, 4]]"
three_class,3,0,3,none,SVM,True,4968,"{""C"": 1, ""gamma"": 0.0001}",0.6655913333210305,0.4827586206896552,0.4339981006647673,0.6940088635135075,"[[8, 2, 2], [5, 1, 4], [2, 0, 5]]"
three_class,3,0,3,none,SVM,False,4968,"{""C"": 1.0, ""gamma"": ""scale""}",,0.4827586206896552,0.4273504273504273,0.6910241289498256,"[[8, 1, 3], [4, 1, 5], [2, 0, 5]]"
three_class,3,0,3,anova,LR,True,200,"{""C"": 0.01}",0.7445982233639059,0.6896551724137931,0.712121212121212,0.8210901585514588,"[[8, 4, 0], [3, 7, 0], [1, 1, 5]]"
three_class,3,0,3,anova,LR,False,50,"{""C"": 1.0}",,0.6551724137931034,0.6529914529914529,0.7437240605971255,"[[9, 2, 1], [4, 6, 0], [1, 2, 4]]"
three_class,3,0,3,anova,LASSO,True,50,"{""C"": 1}",0.7296316646872579,0.4482758620689655,0.439765694076039,0.687722872242996,"[[7, 3, 2], [6, 3, 1], [4, 0, 3]]"
three_class,3,0,3,anova,LASSO,False,50,"{""C"": 1.0}",,0.4482758620689655,0.439765694076039,0.687722872242996,"[[7, 3, 2], [6, 3, 1], [4, 0, 3]]"
three_class,3,0,3,anova,RF,True,500,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.791752592379893,0.6551724137931034,0.6646464646464646,0.8238926192486563,"[[9, 3, 0], [4, 6, 0], [2, 1, 4]]"
three_class,3,0,3,anova,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5172413793103449,0.5370370370370371,0.7143967315793942,"[[7, 4, 1], [6, 4, 0], [3, 0, 4]]"
three_class,3,0,3,anova,SVM,True,50,"{""C"": 10, ""gamma"": ""scale""}",0.737432797824579,0.4827586206896552,0.4894419306184012,0.6389838231943495,"[[7, 4, 1], [6, 3, 1], [3, 0, 4]]"
three_class,3,0,3,anova,SVM,False,50,"{""C"": 1.0, ""gamma"": ""scale""}",,0.4827586206896552,0.4634920634920634,0.6672722358480874,"[[8, 2, 2], [7, 2, 1], [3, 0, 4]]"
three_class,3,0,3,mi,LR,True,500,"{""C"": 0.01}",0.7399638073009721,0.7241379310344828,0.7418803418803419,0.8609659174674654,"[[9, 3, 0], [3, 7, 0], [2, 0, 5]]"
three_class,3,0,3,mi,LR,False,50,"{""C"": 1.0}",,0.5172413793103449,0.5310457516339869,0.57123624569445,"[[5, 3, 4], [6, 4, 0], [1, 0, 6]]"
three_class,3,0,3,mi,LASSO,True,200,"{""C"": 0.5}",0.7281987331833325,0.6896551724137931,0.6904761904761906,0.714267174174295,"[[10, 1, 1], [6, 4, 0], [0, 1, 6]]"
three_class,3,0,3,mi,LASSO,False,50,"{""C"": 1.0}",,0.5862068965517241,0.5993516399694889,0.6223515562524851,"[[6, 3, 3], [5, 5, 0], [0, 1, 6]]"
three_class,3,0,3,mi,RF,True,100,"{""max_depth"": null, ""min_samples_leaf"": 1}",0.8411260462242733,0.4827586206896552,0.4986333927510398,0.711383516724074,"[[8, 4, 0], [8, 2, 0], [2, 1, 4]]"
three_class,3,0,3,mi,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5517241379310345,0.5396825396825397,0.6600467300157702,"[[10, 2, 0], [8, 2, 0], [3, 0, 4]]"
three_class,3,0,3,mi,SVM,True,500,"{""C"": 10, ""gamma"": 0.001}",0.7269835885642362,0.5172413793103449,0.4914862914862914,0.7207316419390724,"[[7, 3, 2], [2, 2, 6], [1, 0, 6]]"
three_class,3,0,3,mi,SVM,False,50,"{""C"": 1.0, ""gamma"": ""scale""}",,0.4137931034482758,0.1951219512195121,0.7536575395708524,"[[12, 0, 0], [10, 0, 0], [7, 0, 0]]"
three_class,4,0,4,none,LR,True,4968,"{""C"": 10}",0.6263339350977972,0.4285714285714285,0.4305555555555555,0.6478336217527948,"[[7, 4, 1], [8, 1, 0], [1, 2, 4]]"
three_class,4,0,4,none,LR,False,4968,"{""C"": 1.0}",,0.4285714285714285,0.4194444444444444,0.658037081791781,"[[8, 4, 0], [8, 1, 0], [2, 2, 3]]"
three_class,4,0,4,none,LASSO,True,4968,"{""C"": 0.1}",0.6843113012803496,0.5714285714285714,0.5553814002089864,0.7242436448263517,"[[9, 2, 1], [5, 4, 0], [3, 1, 3]]"
three_class,4,0,4,none,LASSO,False,4968,"{""C"": 1.0}",,0.5714285714285714,0.5503663003663003,0.7681412111628276,"[[8, 2, 2], [6, 2, 1], [0, 1, 6]]"
three_class,4,0,4,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.8063777931290631,0.6785714285714286,0.655362558588365,0.8147768976011457,"[[11, 1, 0], [7, 2, 0], [1, 0, 6]]"
three_class,4,0,4,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6428571428571429,0.6324786324786325,0.8068683613796396,"[[10, 2, 0], [7, 2, 0], [1, 0, 6]]"
three_class,4,0,4,none,SVM,True,4968,"{""C"": 0.1, ""gamma"": ""scale""}",0.6593128090340489,0.4285714285714285,0.1999999999999999,0.6794764689501532,"[[12, 0, 0], [9, 0, 0], [7, 0, 0]]"
three_class,4,0,4,none,SVM,False,4968,"{""C"": 1.0, ""gamma"": ""scale""}",,0.5357142857142857,0.4372759856630824,0.7090344909893783,"[[10, 1, 1], [7, 0, 2], [2, 0, 5]]"
three_class,4,0,4,anova,LR,True,100,"{""C"": 0.01}",0.7315301679627311,0.5357142857142857,0.5542497625830959,0.778349022357481,"[[7, 4, 1], [6, 3, 0], [2, 0, 5]]"
three_class,4,0,4,anova,LR,False,50,"{""C"": 1.0}",,0.6785714285714286,0.6654456654456654,0.8327173340096272,"[[10, 1, 1], [3, 5, 1], [3, 0, 4]]"
three_class,4,0,4,anova,LASSO,True,100,"{""C"": 1}",0.7134340977616925,0.5,0.5128205128205128,0.7962782700799619,"[[7, 5, 0], [5, 3, 1], [2, 1, 4]]"
three_class,4,0,4,anova,LASSO,False,50,"{""C"": 1.0}",,0.5357142857142857,0.4464285714285714,0.8606697796077496,"[[10, 1, 1], [8, 0, 1], [2, 0, 5]]"
three_class,4,0,4,anova,RF,True,500,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.8321910794611944,0.6785714285714286,0.669445497031704,0.8188856317380754,"[[10, 1, 1], [6, 3, 0], [1, 0, 6]]"
three_class,4,0,4,anova,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5714285714285714,0.4949009324009324,0.7598901768309663,"[[11, 0, 1], [7, 1, 1], [2, 1, 4]]"
three_class,4,0,4,anova,SVM,True,100,"{""C"": 10, ""gamma"": 0.0001}",0.7520838693330502,0.4642857142857143,0.3315315315315315,0.7972666040100251,"[[11, 0, 1], [9, 0, 0], [5, 0, 2]]"
three_class,4,0,4,anova,SVM,False,50,"{""C"": 1.0, ""gamma"": ""scale""}",,0.5357142857142857,0.420814479638009,0.8564591041094801,"[[11, 0, 1], [8, 0, 1], [3, 0, 4]]"
three_class,4,0,4,mi,LR,True,20,"{""C"": 10}",0.715670446400814,0.5714285714285714,0.5606837606837607,0.7115438646218721,"[[8, 4, 0], [5, 2, 2], [1, 0, 6]]"
three_class,4,0,4,mi,LR,False,50,"{""C"": 1.0}",,0.5714285714285714,0.5900280112044819,0.700348962684489,"[[7, 5, 0], [5, 3, 1], [1, 0, 6]]"
three_class,4,0,4,mi,LASSO,True,20,"{""C"": 5}",0.6970509782687969,0.5,0.5029982363315696,0.6668618470780124,"[[7, 5, 0], [7, 1, 1], [1, 0, 6]]"
three_class,4,0,4,mi,LASSO,False,50,"{""C"": 1.0}",,0.4285714285714285,0.3098039215686274,0.7157334059354735,"[[9, 3, 0], [6, 3, 0], [7, 0, 0]]"
three_class,4,0,4,mi,RF,True,200,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.8316443272253388,0.5714285714285714,0.6048265460030166,0.745500283446712,"[[7, 5, 0], [6, 3, 0], [1, 0, 6]]"
three_class,4,0,4,mi,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6071428571428571,0.6098269546545408,0.7561251839917253,"[[9, 3, 0], [7, 2, 0], [1, 0, 6]]"
three_class,4,0,4,mi,SVM,True,10,"{""C"": 100, ""gamma"": ""scale""}",0.7193252955554811,0.4642857142857143,0.4349206349206349,0.6798637218045113,"[[6, 4, 2], [3, 1, 5], [0, 1, 6]]"
three_class,4,0,4,mi,SVM,False,50,"{""C"": 1.0, ""gamma"": ""scale""}",,0.4285714285714285,0.3098039215686274,0.7355342721884076,"[[9, 3, 0], [6, 3, 0], [7, 0, 0]]"
three_class,5,1,0,none,LR,True,4968,"{""C"": 10}",0.7369552242338416,0.4137931034482758,0.3712121212121212,0.4766344766344766,"[[7, 6, 0], [5, 4, 0], [3, 3, 1]]"
three_class,5,1,0,none,LR,False,4968,"{""C"": 1.0}",,0.3448275862068966,0.264069264069264,0.4807340807340807,"[[6, 6, 1], [5, 4, 0], [4, 3, 0]]"
three_class,5,1,0,none,LASSO,True,4968,"{""C"": 5}",0.7039264163915074,0.4482758620689655,0.3994708994708995,0.5493205868205868,"[[7, 5, 1], [4, 5, 0], [4, 2, 1]]"
three_class,5,1,0,none,LASSO,False,4968,"{""C"": 1.0}",,0.4827586206896552,0.4272904483430799,0.5974136974136974,"[[8, 4, 1], [4, 5, 0], [5, 1, 1]]"
three_class,5,1,0,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.8188033875113412,0.6551724137931034,0.6241830065359477,0.8771127021127021,"[[12, 1, 0], [7, 2, 0], [2, 0, 5]]"
three_class,5,1,0,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6896551724137931,0.6740481740481741,0.8679602804602805,"[[12, 1, 0], [6, 3, 0], [2, 0, 5]]"
three_class,5,1,0,none,SVM,True,4968,"{""C"": 10, ""gamma"": 0.0001}",0.7040877048823585,0.4137931034482758,0.3742857142857143,0.6092412217412218,"[[6, 2, 5], [4, 1, 4], [2, 0, 5]]"
three_class,5,1,0,none,SVM,False,4968,"{""C"": 1.0, ""gamma"": ""scale""}",,0.4827586206896552,0.4233100233100233,0.621495633995634,"[[8, 0, 5], [3, 1, 5], [2, 0, 5]]"
three_class,5,1,0,anova,LR,True,100,"{""C"": 0.01}",0.7360859954108862,0.5862068965517241,0.5630391114262082,0.741051541051541,"[[10, 2, 1], [5, 3, 1], [3, 0, 4]]"
three_class,5,1,0,anova,LR,False,50,"{""C"": 1.0}",,0.5862068965517241,0.5555555555555555,0.7457722832722832,"[[10, 2, 1], [4, 4, 1], [3, 1, 3]]"
three_class,5,1,0,anova,LASSO,True,20,"{""C"": 5}",0.7380809915486016,0.5517241379310345,0.4608946608946608,0.6555453805453805,"[[12, 0, 1], [5, 2, 2], [5, 0, 2]]"
three_class,5,1,0,anova,LASSO,False,50,"{""C"": 1.0}",,0.5517241379310345,0.4814205402440696,0.6900506900506901,"[[11, 1, 1], [7, 1, 1], [3, 0, 4]]"
three_class,5,1,0,anova,RF,True,500,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.8284831056355645,0.5862068965517241,0.5372759856630824,0.7506757131757132,"[[10, 2, 1], [7, 1, 1], [1, 0, 6]]"
three_class,5,1,0,anova,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.3448275862068966,0.304383788254756,0.6185878935878936,"[[7, 5, 1], [7, 0, 2], [4, 0, 3]]"
