fold_id,k,acc,f1,auc
5,200,0.4827586206896552,0.4257917337627482,0.6491457616457615
5,300,0.4827586206896552,0.4666666666666666,0.5940369815369816
5,500,0.4827586206896552,0.457070707070707,0.6527037777037777
6,10,0.4137931034482758,0.3115942028985507,0.5903388278388279
6,20,0.3103448275862069,0.1666666666666666,0.5381710881710882
6,30,0.4137931034482758,0.3074074074074074,0.538537851037851
6,50,0.3103448275862069,0.238095238095238,0.5283882783882784
6,75,0.3448275862068966,0.3100529100529101,0.4731472231472232
6,100,0.3448275862068966,0.3100529100529101,0.4973720723720724
6,150,0.3103448275862069,0.2853615520282186,0.5106282606282607
6,200,0.3793103448275862,0.3438140806561859,0.5152463277463278
6,300,0.5517241379310345,0.4828985507246377,0.7467883967883967
6,500,0.5862068965517241,0.5110863371732938,0.712034262034262
7,10,0.3103448275862069,0.2901542901542902,0.466018241018241
7,20,0.4482758620689655,0.4538461538461538,0.696588134088134
7,30,0.4827586206896552,0.4987789987789988,0.6825840825840827
7,50,0.4827586206896552,0.5004830917874395,0.6598549598549598
7,75,0.4482758620689655,0.4585240274599542,0.6406676656676656
7,100,0.4482758620689655,0.4467647058823529,0.6673257298257299
7,150,0.4482758620689655,0.4453703703703703,0.6970626595626596
7,200,0.4827586206896552,0.4871794871794872,0.6901145151145153
7,300,0.4137931034482758,0.4296296296296296,0.6815004440004441
7,500,0.4827586206896552,0.4936117467581998,0.6301975801975802
8,10,0.5172413793103449,0.4939146874630746,0.7639075406877264
8,20,0.5862068965517241,0.5762766645119587,0.7929156670642739
8,30,0.5862068965517241,0.5856950067476383,0.8049066516558776
8,50,0.5862068965517241,0.5555555555555555,0.6822718561108654
8,75,0.5172413793103449,0.4871794871794872,0.6634552066440611
8,100,0.5172413793103449,0.4916666666666667,0.7292953864161295
8,150,0.5862068965517241,0.5859815190443993,0.7658806106174527
8,200,0.6206896551724138,0.6216931216931217,0.799848775235772
8,300,0.5862068965517241,0.6027676027676029,0.8521953278919222
8,500,0.4482758620689655,0.4961013645224172,0.6200273410799727
9,10,0.5,0.4777777777777777,0.7520015316067946
9,20,0.6071428571428571,0.597048066875653,0.8063555466046068
9,30,0.6428571428571429,0.6557575757575758,0.8556746529020964
9,50,0.6428571428571429,0.6389759665621735,0.778671007876835
9,75,0.6071428571428571,0.613572701807996,0.7776062179257668
9,100,0.5714285714285714,0.5881032547699214,0.7718297479810637
9,150,0.5714285714285714,0.5521885521885522,0.7283896745832835
9,200,0.6785714285714286,0.6666666666666666,0.7696069290289215
9,300,0.6071428571428571,0.618007662835249,0.7753417521979552
9,500,0.6428571428571429,0.6587301587301587,0.7909729681346223
10,10,0.4482758620689655,0.4017094017094016,0.6677581677581678
10,20,0.4827586206896552,0.4668911335578001,0.739992414992415
10,30,0.4827586206896552,0.5236363636363636,0.7773106523106522
10,50,0.5172413793103449,0.555000555000555,0.7483447108447109
10,75,0.5172413793103449,0.531873923178271,0.7716949716949717
10,100,0.5172413793103449,0.540952380952381,0.7000180375180376
10,150,0.6206896551724138,0.6402116402116403,0.7463619713619712
10,200,0.6206896551724138,0.6495726495726496,0.7073620823620823
10,300,0.4827586206896552,0.4803174603174603,0.615931290931291
10,500,0.4827586206896552,0.5094017094017094,0.6294210419210419
11,10,0.5172413793103449,0.4738562091503267,0.7321053946053945
11,20,0.4827586206896552,0.4904761904761905,0.6673419173419175
11,30,0.5862068965517241,0.6095848595848596,0.7919191919191918
11,50,0.5862068965517241,0.5990338164251208,0.8008459133459134
11,75,0.6206896551724138,0.6248196248196248,0.7595349095349095
11,100,0.5172413793103449,0.538992408557626,0.7671287046287046
11,150,0.5172413793103449,0.535042735042735,0.6845302845302846
11,200,0.4827586206896552,0.5092063492063491,0.7157860657860656
11,300,0.5517241379310345,0.5714285714285715,0.7916615791615792
11,500,0.5517241379310345,0.5571428571428572,0.79759361009361
12,10,0.4482758620689655,0.3141945773524721,0.6976990601990601
12,20,0.4482758620689655,0.367003367003367,0.6327260702260703
12,30,0.4827586206896552,0.4227994227994228,0.6658730158730158
12,50,0.5862068965517241,0.5555555555555555,0.6782097532097532
12,75,0.5517241379310345,0.4874080362195812,0.7019799644799645
12,100,0.4827586206896552,0.4694444444444444,0.7328884078884078
12,150,0.4827586206896552,0.4694444444444444,0.7159678284678285
12,200,0.5172413793103449,0.4814271749755621,0.7106573981573981
12,300,0.5517241379310345,0.5546576879910213,0.7423969548969548
12,500,0.5862068965517241,0.5878442545109211,0.7492706367706368
13,10,0.3448275862068966,0.3007207845917523,0.5439925571504519
13,20,0.3448275862068966,0.3175925925925926,0.5917454062964899
13,30,0.4482758620689655,0.3986209868562809,0.6585561497326203
13,50,0.5517241379310345,0.4957264957264957,0.7120961941395377
13,75,0.4827586206896552,0.4803675856307435,0.7346056764013419
13,100,0.5862068965517241,0.579510273008725,0.746892856025983
13,150,0.4827586206896552,0.4607407407407407,0.710887066150224
13,200,0.6206896551724138,0.6057692307692307,0.7437097646075973
13,300,0.6551724137931034,0.6438411261940674,0.7815691188756203
13,500,0.6206896551724138,0.5774457931320677,0.7752726289877993
14,10,0.4285714285714285,0.2670565302144249,0.6538798633488483
14,20,0.5,0.4034632034632035,0.6999051448064605
14,30,0.5714285714285714,0.5261648745519714,0.7199664588057445
14,50,0.5357142857142857,0.4571577847439916,0.6839289443847715
14,75,0.4642857142857143,0.393939393939394,0.5956253480924533
14,100,0.4642857142857143,0.4332112332112331,0.6456853940406572
14,150,0.5357142857142857,0.5367439577965893,0.6959698353025421
14,200,0.5714285714285714,0.5788655788655789,0.676912395074989
14,300,0.4642857142857143,0.447957839262187,0.6950529846441501
14,500,0.4285714285714285,0.4385783298826777,0.6198233679436687
15,10,0.4827586206896552,0.4886128364389234,0.7389272764272764
15,20,0.4137931034482758,0.4246498599439776,0.658474395974396
15,30,0.4137931034482758,0.422553710479407,0.6352749102749103
15,50,0.5172413793103449,0.5182474903837133,0.663515651015651
15,75,0.4137931034482758,0.4133986928104575,0.660456672956673
15,100,0.3793103448275862,0.3888888888888888,0.6398726273726273
15,150,0.4137931034482758,0.417432470064049,0.6496540496540496
15,200,0.4137931034482758,0.4135338345864661,0.6630758130758131
15,300,0.3793103448275862,0.3851851851851851,0.6614145114145114
15,500,0.4827586206896552,0.4881419234360411,0.7215959965959966
16,10,0.4482758620689655,0.4459259259259259,0.7246512746512747
16,20,0.5862068965517241,0.6262626262626263,0.7675172050172051
16,30,0.6206896551724138,0.6385595081247255,0.78992488992489
16,50,0.5517241379310345,0.58300395256917,0.7816826691826693
16,75,0.5862068965517241,0.6156595191682911,0.7432007807007807
16,100,0.5862068965517241,0.5897435897435898,0.7347684722684722
16,150,0.5517241379310345,0.5629930132972728,0.7211765086765087
16,200,0.5172413793103449,0.525,0.6453361453361454
16,300,0.5517241379310345,0.5674074074074075,0.7266529766529767
16,500,0.4482758620689655,0.4632996632996633,0.5306799681799682
17,10,0.4827586206896552,0.3532763532763532,0.7542878417878418
17,20,0.5172413793103449,0.500366568914956,0.7176582676582677
17,30,0.5862068965517241,0.573899918727505,0.8151579901579901
17,50,0.6896551724137931,0.6604506604506605,0.7928321678321678
17,75,0.5517241379310345,0.5125000000000001,0.6913114663114662
17,100,0.5172413793103449,0.4814814814814814,0.6428182928182928
17,150,0.5172413793103449,0.5052910052910052,0.6583023458023458
17,200,0.4827586206896552,0.4682217714672076,0.646463258963259
17,300,0.5862068965517241,0.5750000000000001,0.6717879342879343
17,500,0.5862068965517241,0.5555555555555555,0.7245125245125245
18,10,0.4482758620689655,0.3443223443223442,0.8008964032183846
18,20,0.6551724137931034,0.6318458417849899,0.7932444748234221
18,30,0.6206896551724138,0.5972222222222222,0.814401422450958
18,50,0.6551724137931034,0.6147186147186147,0.7929192410616559
18,75,0.6551724137931034,0.6060498641143802,0.858001510013894
18,100,0.6206896551724138,0.582905982905983,0.8137768664084453
18,150,0.7241379310344828,0.7214285714285714,0.8129271485308637
18,200,0.5517241379310345,0.5516908212560386,0.7068167298817453
18,300,0.5862068965517241,0.5774225774225774,0.8119731146046935
18,500,0.5517241379310345,0.5367965367965367,0.7304084632258006
19,10,0.2857142857142857,0.2358698649021229,0.4609875382901698
19,20,0.3214285714285714,0.2848764139086719,0.5453203942395671
19,30,0.3928571428571428,0.3652037617554859,0.560380365596531
19,50,0.3928571428571428,0.395959595959596,0.598245365397621
19,75,0.4285714285714285,0.4189723320158102,0.6016492123165055
19,100,0.4642857142857143,0.4818181818181817,0.5522542715916776
19,150,0.3571428571428571,0.3785964912280701,0.5121857222421132
19,200,0.3571428571428571,0.3593073593073592,0.4926962744161993
19,300,0.3928571428571428,0.3897681266102319,0.5710009149858775
19,500,0.3928571428571428,0.3948717948717949,0.5882948939809842
20,10,0.4137931034482758,0.3013923013923014,0.6840909090909092
20,20,0.5862068965517241,0.573899918727505,0.7687465312465313
20,30,0.6551724137931034,0.6529914529914529,0.7831894956894958
20,50,0.6206896551724138,0.6216931216931217,0.7997775372775373
20,75,0.6206896551724138,0.6267806267806267,0.7853428978428978
20,100,0.4827586206896552,0.4664477285166939,0.7512140637140637
20,150,0.5517241379310345,0.5532731611162984,0.7010743885743885
20,200,0.5172413793103449,0.5286935286935287,0.7256118881118881
20,300,0.6551724137931034,0.6603174603174603,0.8210502460502461
20,500,0.7241379310344828,0.7313131313131315,0.8877446627446628
21,10,0.4827586206896552,0.3384615384615384,0.720008695008695
21,20,0.5172413793103449,0.4454212454212454,0.669379231879232
21,30,0.4137931034482758,0.3720430107526881,0.6947672697672697
21,50,0.5517241379310345,0.5234848484848484,0.7588462463462463
